setting,Box-F1,mAP50,mAP50-95,Mask-F1
ft44_AdamW_finloop.pt_feval.csv,0.94,0.967,0.763,0.896
ft44_Adam_finloop.pt_feval.csv,0.938,0.963,0.762,0.898
ft44_auto_finloop.pt_feval.csv,0.951,0.978,0.799,0.914
ft44_SGD_feval.csv,0.87,0.921,0.683,0.831
ft44_SGD_finloop.pt_feval.csv,0.916,0.945,0.71,0.875
ft45cos_AdamW_feval.csv,0.856,0.903,0.672,0.817
ft45cos_AdamW_finloop.pt_feval.csv,0.93,0.963,0.763,0.881
ft45cos_Adam_finloop.pt_feval.csv,0.938,0.966,0.758,0.891
ft45cos_auto_finloop.pt_feval.csv,0.954,0.977,0.797,0.912
ft45cos_SGD_feval.csv,0.83,0.876,0.62,0.797
ft45cos_SGD_finloop.pt_feval.csv,0.906,0.932,0.679,0.863
ft45_AdamW_feval.csv,0.862,0.911,0.672,0.827
ft45_AdamW_finloop.pt_feval.csv,0.94,0.969,0.762,0.887
ft45_Adam_finloop.pt_feval.csv,0.936,0.965,0.755,0.887
ft45_auto_finloop.pt_feval.csv,0.951,0.978,0.799,0.914
ft45_SGD_feval.csv,0.833,0.875,0.621,0.799
ft45_SGD_finloop.pt_feval.csv,0.906,0.932,0.68,0.862
