setting,Box-F1,mAP50,mAP50-95,Mask-F1
ft27_SGD_feval.csv,0.994,0.995,0.88,0.992
ft27_SGD_finloop.pt_feval.csv,0.964,0.977,0.738,0.963
ft28_AdamW_feval.csv,0.994,0.995,0.905,0.994
ft28_AdamW_finloop.pt_feval.csv,0.986,0.992,0.796,0.986
ft28_SGD_feval.csv,0.994,0.995,0.895,0.994
ft28_SGD_finloop.pt_feval.csv,0.971,0.981,0.767,0.968
ft29_AdamW_feval.csv,0.995,0.995,0.921,0.995
ft29_AdamW_finloop.pt_feval.csv,0.976,0.985,0.785,0.975
ft29_SGD_feval.csv,0.985,0.988,0.786,0.983
ft29_SGD_finloop.pt_feval.csv,0.877,0.913,0.553,0.877
ft30_AdamW_feval.csv,0.995,0.995,0.886,0.994
ft30_AdamW_finloop.pt_feval.csv,0.944,0.971,0.665,0.945
ft30_SGD_feval.csv,0.974,0.984,0.697,0.971
ft30_SGD_finloop.pt_feval.csv,0.813,0.854,0.485,0.806
ft31_AdamW_feval.csv,0.995,0.995,0.888,0.994
ft31_AdamW_finloop.pt_feval.csv,0.955,0.971,0.659,0.956
ft31_SGD_feval.csv,0.98,0.985,0.728,0.977
ft31_SGD_finloop.pt_feval.csv,0.825,0.864,0.495,0.815
ft32_AdamW_feval.csv,0.994,0.995,0.884,0.994
ft32_AdamW_finloop.pt_feval.csv,0.955,0.969,0.669,0.955
ft32_SGD_feval.csv,0.975,0.984,0.725,0.972
ft32_SGD_finloop.pt_feval.csv,0.819,0.861,0.486,0.805
ft33_AdamW_feval.csv,0.994,0.993,0.911,0.994
ft33_AdamW_finloop.pt_feval.csv,0.953,0.973,0.688,0.951
ft33_SGD_feval.csv,0.98,0.985,0.752,0.977
ft33_SGD_finloop.pt_feval.csv,0.809,0.845,0.472,0.801
ft7_feval_AdamW.csv,0.994,0.995,0.867,0.993
ft7_feval_auto.csv,0.988,0.994,0.836,0.988
ft7_feval_SGD.csv,0.995,0.995,0.86,0.995
ft8_feval_AdamW.csv,0.994,0.995,0.877,0.992
ft8_feval_auto.csv,0.988,0.994,0.836,0.988
ft8_feval_SGD.csv,0.992,0.993,0.838,0.992
ft9_feval_AdamW.csv,0.995,0.995,0.887,0.995
ft9_feval_auto.csv,0.988,0.994,0.836,0.988
ft9_feval_SGD.csv,0.97,0.982,0.697,0.969
