dataset,split,model,Class,Images,Instances,Box-P,Box-R,Box-F1,Box-mAP50,Box-mAP50-95,Mask-P,Mask-R,Mask-F1,Mask-mAP50,Mask-mAP50-95,t
rzeszow,test,ft32_AdamW_finloop.pt,pv,435,1692,0.883,0.863,0.873,0.921,0.676,0.888,0.799,0.841,0.8751562158150246,0.5898402950814835,9.675317287445068
rzeszow,test,ft32_SGD,pv,435,1692,0.658,0.572,0.612,0.612,0.423,0.675,0.555,0.609,0.5955962393586631,0.36446836247289116,11.757093667984009
rzeszow,test,ft32_SGD_finloop.pt,pv,435,1692,0.896,0.87,0.883,0.915,0.643,0.862,0.824,0.843,0.8781174424392004,0.562619426453644,10.008412599563599
rzeszow,test,ft27_AdamW,pv,435,1692,0.895,0.868,0.881,0.932,0.72,0.879,0.823,0.85,0.8856077797323593,0.6095821426308085,10.91516661643982
rzeszow,test,ft33_AdamW,pv,435,1692,0.923,0.882,0.902,0.943,0.74,0.933,0.829,0.878,0.9103954986533679,0.6694167095480761,10.590471029281616
rzeszow,test,ft33_AdamW_finloop.pt,pv,435,1692,0.937,0.911,0.924,0.961,0.747,0.905,0.865,0.885,0.9264135264077402,0.6637611164216142,10.136882305145264
rzeszow,test,ft33_SGD,pv,435,1692,0.791,0.632,0.703,0.74,0.517,0.766,0.61,0.679,0.707574294883051,0.4570903406152169,11.481073141098022
rzeszow,test,ft33_SGD_finloop.pt,pv,435,1692,0.911,0.887,0.899,0.927,0.673,0.872,0.842,0.857,0.8897176304920806,0.5922970039423618,10.021223068237305
rzeszow,test,ft43cos_AdamW_finloop.pt,pv,435,1692,0.918,0.863,0.89,0.928,0.664,0.879,0.816,0.846,0.8764867123540592,0.5782861520919721,9.915820837020874
rzeszow,test,ft43cos_AdamW,pv,435,1692,0.864,0.779,0.82,0.865,0.62,0.858,0.741,0.795,0.8375080810311749,0.5490842119236948,11.18464732170105
synth_old,train,finloop,solar-panel,150,374,0.396,0.275,0.325,0.273,0.115,0.254,0.184,0.214,0.12314941739510282,0.035054176366176595,7.34645938873291
synth_old,train,ft21SGD,pv,150,374,0.429,0.281,0.339,0.277,0.134,0.363,0.251,0.297,0.1990646941885456,0.07931086961218249,7.5676305294036865
synth_old,train,ft29_AdamW,pv,150,374,0.307,0.152,0.204,0.141,0.062,0.231,0.115,0.154,0.08625491824549668,0.03514947605763298,7.191027402877808
synth_old,train,ft29_AdamW_finloop.pt,pv,150,374,0.305,0.278,0.291,0.215,0.083,0.246,0.222,0.233,0.1400325472061106,0.05840515323347757,6.643470048904419
synth_old,train,ft29_SGD,pv,150,374,0.365,0.332,0.348,0.262,0.122,0.293,0.246,0.268,0.1687756236292348,0.06550917953280662,8.126375675201416
synth_old,train,ft29_SGD_finloop.pt,pv,150,374,0.362,0.31,0.334,0.257,0.102,0.325,0.278,0.3,0.19188662303567183,0.06830972084939843,6.965972661972046
synth_old,train,ft30_AdamW,pv,150,374,0.34,0.206,0.257,0.165,0.063,0.258,0.126,0.169,0.07003192010011275,0.02520275998353861,7.558631181716919
synth_old,train,ft30_AdamW_finloop.pt,pv,150,374,0.406,0.305,0.348,0.277,0.118,0.333,0.253,0.288,0.19156388798107743,0.07694068091780228,6.866517782211304
synth_old,train,ft30_SGD,pv,150,374,0.33,0.34,0.335,0.263,0.126,0.257,0.265,0.261,0.1645198783307041,0.06436960331501665,7.9492506980896
synth_old,train,ft30_SGD_finloop.pt,pv,150,374,0.478,0.305,0.372,0.29,0.112,0.367,0.278,0.316,0.20698942173442272,0.07497159895665437,7.65954065322876
synth_old,train,ft31_AdamW,pv,150,374,0.318,0.203,0.248,0.151,0.059,0.206,0.139,0.166,0.06891288901987941,0.02497673788880881,7.519015550613403
synth_old,train,ft31_AdamW_finloop.pt,pv,150,374,0.355,0.313,0.333,0.268,0.114,0.264,0.286,0.275,0.17442368664352564,0.06938777769749954,7.11776876449585
synth_old,train,ft31_SGD,pv,150,374,0.324,0.345,0.334,0.267,0.126,0.25,0.267,0.258,0.16743907899746685,0.06610943614712522,8.550174474716187
synth_old,train,ft31_SGD_finloop.pt,pv,150,374,0.435,0.316,0.366,0.283,0.11,0.352,0.275,0.309,0.20030207502020367,0.07215053579749912,7.152611970901489
synth_old,train,ft32_AdamW,pv,150,374,0.295,0.171,0.217,0.132,0.058,0.23,0.112,0.151,0.07407248857938095,0.029481156465708147,7.4112465381622314
synth_old,train,ft32_AdamW_finloop.pt,pv,150,374,0.38,0.385,0.382,0.315,0.128,0.292,0.302,0.297,0.19713112321409804,0.08133533689771126,6.919233560562134
synth_old,train,ft32_SGD,pv,150,374,0.366,0.353,0.36,0.3,0.141,0.297,0.286,0.291,0.19684117560492992,0.0729040147921888,8.680826187133789
synth_old,train,ft32_SGD_finloop.pt,pv,150,374,0.448,0.324,0.376,0.286,0.109,0.32,0.294,0.307,0.1824389692588712,0.06849468987821646,7.366328239440918
synth_old,train,ft27_AdamW,pv,150,374,0.361,0.176,0.237,0.164,0.074,0.251,0.16,0.196,0.11423572841855564,0.043345700964323886,7.68513822555542
synth_old,train,ft33_AdamW,pv,150,374,0.462,0.257,0.33,0.263,0.121,0.347,0.193,0.248,0.1515197327296602,0.06088402679044193,7.34268593788147
synth_old,train,ft33_AdamW_finloop.pt,pv,150,374,0.363,0.291,0.323,0.264,0.109,0.313,0.249,0.277,0.19356415540960614,0.0756447679668941,6.791118621826172
synth_old,train,ft33_SGD,pv,150,374,0.386,0.294,0.334,0.266,0.129,0.304,0.238,0.267,0.17342453009009023,0.07052985382257432,8.295204401016235
synth_old,train,ft33_SGD_finloop.pt,pv,150,374,0.384,0.345,0.364,0.287,0.111,0.369,0.278,0.317,0.2032500473356839,0.07301368474751492,7.143585920333862
synth_old,train,ft43cos_AdamW_finloop.pt,pv,150,374,0.341,0.377,0.358,0.29,0.124,0.287,0.318,0.302,0.193326574293336,0.07929487103880509,7.063889503479004
synth_old,train,ft43cos_AdamW,pv,150,374,0.375,0.246,0.297,0.214,0.099,0.327,0.191,0.241,0.1320160491974638,0.05541903236427013,7.24334716796875
synth_old,val,finloop,solar-panel,12,35,0.501,0.571,0.534,0.538,0.259,0.361,0.429,0.392,0.31896554559950374,0.11777497953800611,4.29191517829895
synth_old,val,ft21SGD,pv,12,35,0.688,0.686,0.687,0.674,0.355,0.646,0.6,0.622,0.5973320782888792,0.2600762341987949,4.465680122375488
synth_old,val,ft29_AdamW,pv,12,35,0.778,0.543,0.639,0.569,0.274,0.735,0.514,0.605,0.5108133531122409,0.1975286994085459,4.456753492355347
synth_old,val,ft29_AdamW_finloop.pt,pv,12,35,0.596,0.464,0.522,0.498,0.22,0.596,0.464,0.522,0.48977382990263424,0.18803549867321706,4.4068920612335205
synth_old,val,ft29_SGD,pv,12,35,0.611,0.571,0.59,0.604,0.299,0.575,0.543,0.558,0.5527587645542407,0.21887526950748404,4.650049924850464
synth_old,val,ft29_SGD_finloop.pt,pv,12,35,0.788,0.531,0.634,0.523,0.21,0.788,0.531,0.634,0.5158594655978422,0.20816352625909337,4.4064483642578125
synth_old,val,ft30_AdamW,pv,12,35,0.581,0.543,0.561,0.538,0.233,0.494,0.457,0.475,0.3940086328764145,0.16953550534737472,4.453181266784668
synth_old,val,ft30_AdamW_finloop.pt,pv,12,35,0.636,0.45,0.527,0.465,0.175,0.618,0.463,0.529,0.45419924934118916,0.19391945490959117,4.232020854949951
synth_old,val,ft30_SGD,pv,12,35,0.469,0.629,0.537,0.587,0.309,0.447,0.6,0.512,0.5327146729317691,0.22009475917929447,4.625476360321045
synth_old,val,ft30_SGD_finloop.pt,pv,12,35,0.68,0.486,0.567,0.531,0.223,0.718,0.543,0.618,0.5237769598424662,0.2232019128197163,4.2542924880981445
synth_old,val,ft31_AdamW,pv,12,35,0.585,0.514,0.547,0.498,0.213,0.52,0.457,0.486,0.41258068917121904,0.15569058627962865,4.703993797302246
synth_old,val,ft31_AdamW_finloop.pt,pv,12,35,0.658,0.429,0.519,0.436,0.179,0.658,0.429,0.519,0.4323000752535642,0.1895389255407844,4.189220666885376
synth_old,val,ft31_SGD,pv,12,35,0.489,0.629,0.55,0.592,0.304,0.44,0.571,0.497,0.4821305294359505,0.21283664551115536,4.623427867889404
synth_old,val,ft31_SGD_finloop.pt,pv,12,35,0.809,0.485,0.607,0.529,0.226,0.602,0.629,0.615,0.5211056527342816,0.22083378751716531,4.3304665088653564
synth_old,val,ft32_AdamW,pv,12,35,0.608,0.486,0.54,0.536,0.273,0.586,0.486,0.531,0.4366044678290808,0.19424730791493255,4.477872610092163
synth_old,val,ft32_AdamW_finloop.pt,pv,12,35,0.763,0.6,0.672,0.523,0.237,0.726,0.571,0.64,0.4913198333966328,0.221769994265215,4.510930299758911
synth_old,val,ft32_SGD,pv,12,35,0.491,0.58,0.532,0.586,0.307,0.468,0.552,0.506,0.5374159845276452,0.21250088762732697,4.576007604598999
synth_old,val,ft32_SGD_finloop.pt,pv,12,35,0.646,0.629,0.637,0.557,0.228,0.661,0.629,0.644,0.5315866100278138,0.21828783338783248,4.453890800476074
synth_old,val,ft27_AdamW,pv,12,35,0.695,0.486,0.572,0.524,0.261,0.635,0.429,0.512,0.41901992886754336,0.1950061716293522,4.384541749954224
synth_old,val,ft33_AdamW,pv,12,35,0.747,0.429,0.545,0.537,0.254,0.529,0.429,0.474,0.4291307631138878,0.18079805710739613,4.737985134124756
synth_old,val,ft33_AdamW_finloop.pt,pv,12,35,0.723,0.457,0.56,0.439,0.201,0.723,0.457,0.56,0.41819703673961606,0.18338897785443894,4.1827919483184814
synth_old,val,ft33_SGD,pv,12,35,0.521,0.571,0.545,0.575,0.304,0.473,0.543,0.506,0.4809606688448897,0.2100418735716246,4.539289474487305
synth_old,val,ft33_SGD_finloop.pt,pv,12,35,0.79,0.571,0.663,0.566,0.211,0.784,0.571,0.661,0.5673035171564467,0.21200277768691564,4.496862888336182
synth_old,val,ft43cos_AdamW_finloop.pt,pv,12,35,0.499,0.6,0.545,0.413,0.175,0.515,0.6,0.554,0.4172202428478473,0.17012140455420083,4.178311824798584
synth_old,val,ft43cos_AdamW,pv,12,35,0.608,0.457,0.522,0.457,0.205,0.491,0.371,0.423,0.32051034137739265,0.16536154342276282,4.851219177246094
synth_old,test,finloop,solar-panel,18,32,0.342,0.375,0.358,0.298,0.095,0.222,0.219,0.22,0.11594731617961976,0.03385625746246626,4.601973533630371
synth_old,test,ft21SGD,pv,18,32,0.441,0.469,0.455,0.379,0.19,0.494,0.25,0.332,0.23525105383746475,0.07492851555327247,4.69275689125061
synth_old,test,ft29_AdamW,pv,18,32,0.427,0.219,0.289,0.236,0.141,0.303,0.156,0.206,0.12720199745906274,0.037232628249997526,4.574660539627075
synth_old,test,ft29_AdamW_finloop.pt,pv,18,32,0.242,0.219,0.23,0.099,0.055,0.253,0.094,0.137,0.0493038664864993,0.021448598857446995,4.174954414367676
synth_old,test,ft29_SGD,pv,18,32,0.283,0.406,0.334,0.303,0.164,0.265,0.188,0.22,0.1212221267508483,0.041631091568295364,4.978831768035889
synth_old,test,ft29_SGD_finloop.pt,pv,18,32,0.282,0.281,0.281,0.19,0.106,0.361,0.125,0.186,0.11493600315622837,0.04651177969795127,4.313042163848877
synth_old,test,ft30_AdamW,pv,18,32,0.31,0.281,0.295,0.187,0.1,0.222,0.156,0.183,0.06459854831408687,0.02594663385853241,4.874317646026611
synth_old,test,ft30_AdamW_finloop.pt,pv,18,32,0.278,0.375,0.319,0.179,0.094,0.279,0.125,0.173,0.07959085341638854,0.0369686856155268,4.2314910888671875
synth_old,test,ft30_SGD,pv,18,32,0.36,0.375,0.368,0.333,0.176,0.203,0.219,0.211,0.13623701836591715,0.043187818906730444,4.525140285491943
synth_old,test,ft30_SGD_finloop.pt,pv,18,32,0.277,0.312,0.294,0.207,0.113,0.281,0.125,0.173,0.12032370712621918,0.0427671234433359,4.5830979347229
synth_old,test,ft31_AdamW,pv,18,32,0.232,0.344,0.277,0.175,0.097,0.19,0.281,0.227,0.09078173576586879,0.030624162251804254,4.508885145187378
synth_old,test,ft31_AdamW_finloop.pt,pv,18,32,0.238,0.375,0.291,0.189,0.102,0.23,0.125,0.162,0.06214543106453812,0.026217160347275975,4.287988901138306
