dataset,split,model,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_old,train,ft21_SGD,pv,150,374,0.429,0.281,0.339,0.277,0.134,0.363,0.251,0.297,7.545583486557007
synth_old,val,finloop,solar-panel,12,35,0.501,0.571,0.534,0.538,0.259,0.361,0.429,0.392,4.599252223968506
synth_old,val,ft21SGD,pv,12,35,0.688,0.686,0.687,0.674,0.355,0.646,0.6,0.622,4.544375658035278
synth_old,val,ft27_AdamW_finloop.pt,pv,12,35,0.549,0.429,0.482,0.409,0.179,0.549,0.429,0.482,4.006173610687256
synth_old,val,ft21v8_SGD,pv,12,35,0.688,0.686,0.687,0.674,0.355,0.646,0.6,0.622,4.255364894866943
synth_old,val,ft27_SGD_finloop.pt,pv,12,35,0.587,0.447,0.507,0.428,0.192,0.587,0.447,0.507,4.153400659561157
synth_old,val,ft20_SGD,pv,12,35,0.785,0.626,0.697,0.648,0.3,0.712,0.543,0.616,4.228050470352173
synth_old,val,ft21_SGD,pv,12,35,0.688,0.686,0.687,0.674,0.355,0.646,0.6,0.622,4.463536500930786
synth_old,test,finloop,solar-panel,18,32,0.342,0.375,0.358,0.298,0.095,0.222,0.219,0.22,4.579101085662842
synth_old,test,ft21SGD,pv,18,32,0.441,0.469,0.455,0.379,0.19,0.494,0.25,0.332,4.6334381103515625
synth_old,test,ft27_AdamW_finloop.pt,pv,18,32,0.356,0.25,0.294,0.189,0.073,0.178,0.125,0.147,4.038244724273682
synth_old,test,ft21v8_SGD,pv,18,32,0.441,0.469,0.455,0.379,0.19,0.494,0.25,0.332,4.670657157897949
synth_old,test,ft27_SGD_finloop.pt,pv,18,32,0.322,0.188,0.237,0.158,0.098,0.17,0.156,0.163,4.196743965148926
synth_old,test,ft20_SGD,pv,18,32,0.363,0.281,0.317,0.212,0.105,0.235,0.25,0.242,4.371551752090454
synth_old,test,ft21_SGD,pv,18,32,0.441,0.469,0.455,0.379,0.19,0.494,0.25,0.332,4.496540069580078
synth_new,train,finloop,solar-panel,789,789,0.062,0.027,0.037,0.008,0.001,0.0,0.0,0.0,13.071306467056274
synth_new,train,ft21SGD,pv,789,789,0.999,0.991,0.995,0.995,0.912,0.999,0.991,0.995,12.761017799377441
synth_new,train,ft27_AdamW_finloop.pt,pv,789,789,0.994,0.981,0.987,0.99,0.835,0.994,0.98,0.987,10.60194706916809
synth_new,train,ft21v8_SGD,pv,789,789,0.999,0.991,0.995,0.995,0.912,0.999,0.991,0.995,12.581204175949097
synth_new,train,ft27_SGD_finloop.pt,pv,789,789,0.991,0.952,0.971,0.98,0.754,0.991,0.951,0.97,10.732888221740723
synth_new,train,ft20_SGD,pv,789,789,1.0,0.991,0.995,0.995,0.905,1.0,0.991,0.995,12.673979997634888
synth_new,train,ft21_SGD,pv,789,789,0.999,0.991,0.995,0.995,0.912,0.999,0.991,0.995,12.511261940002441
synth_new,val,finloop,solar-panel,225,225,0.046,0.053,0.05,0.011,0.002,0.0,0.0,0.0,10.130500316619873
synth_new,val,ft21SGD,pv,225,225,1.0,1.0,1.0,0.995,0.919,1.0,1.0,1.0,7.9134721755981445
synth_new,val,ft27_AdamW_finloop.pt,pv,225,225,0.992,0.978,0.985,0.994,0.848,0.992,0.978,0.985,7.5709733963012695
synth_new,val,ft21v8_SGD,pv,225,225,1.0,1.0,1.0,0.995,0.919,1.0,1.0,1.0,8.204450607299805
synth_new,val,ft27_SGD_finloop.pt,pv,225,225,0.973,0.959,0.966,0.988,0.726,0.973,0.959,0.966,7.765117168426514
synth_new,val,ft20_SGD,pv,225,225,1.0,1.0,1.0,0.995,0.92,1.0,1.0,1.0,7.928264617919922
synth_new,val,ft21_SGD,pv,225,225,1.0,1.0,1.0,0.995,0.919,1.0,1.0,1.0,8.250171899795532
synth_new,test,finloop,solar-panel,114,114,0.2,0.035,0.06,0.037,0.004,0.0,0.0,0.0,7.995734930038452
synth_new,test,ft21SGD,pv,114,114,0.999,0.991,0.995,0.995,0.731,0.999,0.991,0.995,6.286587715148926
synth_new,test,ft27_AdamW_finloop.pt,pv,114,114,0.991,0.982,0.987,0.993,0.641,0.991,0.982,0.987,5.784235715866089
synth_new,test,ft21v8_SGD,pv,114,114,0.999,0.991,0.995,0.995,0.731,0.999,0.991,0.995,6.122815132141113
synth_new,test,ft27_SGD_finloop.pt,pv,114,114,0.964,0.947,0.955,0.978,0.628,0.946,0.93,0.938,6.090394496917725
synth_new,test,ft20_SGD,pv,114,114,0.999,0.991,0.995,0.995,0.752,0.999,0.991,0.995,6.095499515533447
synth_new,test,ft21_SGD,pv,114,114,0.999,0.991,0.995,0.995,0.731,0.999,0.991,0.995,6.263329982757568
