dataset,split,model,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
rzeszow,test,ft30_SGD,pv,435,1692,0.747,0.587,0.657,0.677,0.466,0.761,0.563,0.647,11.302794218063354
rzeszow,test,ft30_SGD_finloop.pt,pv,435,1692,0.9,0.876,0.888,0.918,0.657,0.868,0.83,0.849,9.547255516052246
rzeszow,test,ft31_AdamW,pv,435,1692,0.92,0.83,0.873,0.92,0.694,0.9,0.805,0.85,11.091284036636353
rzeszow,test,ft31_AdamW_finloop.pt,pv,435,1692,0.918,0.885,0.901,0.941,0.701,0.911,0.836,0.872,9.426000595092773
rzeszow,test,ft31_SGD,pv,435,1692,0.754,0.613,0.676,0.694,0.481,0.742,0.596,0.661,11.506484270095825
rzeszow,test,ft31_SGD_finloop.pt,pv,435,1692,0.906,0.877,0.891,0.92,0.66,0.862,0.833,0.847,9.594476699829102
rzeszow,test,ft32_AdamW,pv,435,1692,0.875,0.791,0.831,0.871,0.639,0.872,0.773,0.819,11.024126052856445
rzeszow,test,ft32_AdamW_finloop.pt,pv,435,1692,0.883,0.863,0.873,0.921,0.676,0.888,0.799,0.841,9.599701642990112
rzeszow,test,ft32_SGD,pv,435,1692,0.658,0.572,0.612,0.612,0.423,0.675,0.555,0.609,11.573613166809082
rzeszow,test,ft32_SGD_finloop.pt,pv,435,1692,0.896,0.87,0.883,0.915,0.643,0.862,0.824,0.843,9.880557537078857
rzeszow,test,ft33_AdamW,pv,435,1692,0.923,0.882,0.902,0.943,0.74,0.933,0.829,0.878,11.010465145111084
rzeszow,test,ft33_AdamW_finloop.pt,pv,435,1692,0.937,0.911,0.924,0.961,0.747,0.905,0.865,0.885,9.774399995803833
rzeszow,test,ft33_SGD,pv,435,1692,0.791,0.632,0.703,0.74,0.517,0.766,0.61,0.679,11.255656719207764
rzeszow,test,ft33_SGD_finloop.pt,pv,435,1692,0.911,0.887,0.899,0.927,0.673,0.872,0.842,0.857,10.148910522460938
synth_old,train,finloop,solar-panel,150,374,0.396,0.275,0.325,0.273,0.115,0.254,0.184,0.214,10.297110557556152
synth_old,train,ft21SGD,pv,150,374,0.429,0.281,0.339,0.277,0.134,0.363,0.251,0.297,7.7247607707977295
synth_old,train,ft29_AdamW,pv,150,374,0.307,0.152,0.204,0.141,0.062,0.231,0.115,0.154,7.027772426605225
synth_old,train,ft29_AdamW_finloop.pt,pv,150,374,0.305,0.278,0.291,0.215,0.083,0.246,0.222,0.233,6.607682704925537
synth_old,train,ft29_SGD,pv,150,374,0.365,0.332,0.348,0.262,0.122,0.293,0.246,0.268,8.13305401802063
synth_old,train,ft29_SGD_finloop.pt,pv,150,374,0.362,0.31,0.334,0.257,0.102,0.325,0.278,0.3,6.951986074447632
synth_old,train,ft30_AdamW,pv,150,374,0.34,0.206,0.257,0.165,0.063,0.258,0.126,0.169,7.484101295471191
synth_old,train,ft30_AdamW_finloop.pt,pv,150,374,0.406,0.305,0.348,0.277,0.118,0.333,0.253,0.288,6.66485857963562
synth_old,train,ft30_SGD,pv,150,374,0.33,0.34,0.335,0.263,0.126,0.257,0.265,0.261,8.249082088470459
synth_old,train,ft30_SGD_finloop.pt,pv,150,374,0.478,0.305,0.372,0.29,0.112,0.367,0.278,0.316,7.751243352890015
synth_old,train,ft31_AdamW,pv,150,374,0.318,0.203,0.248,0.151,0.059,0.206,0.139,0.166,8.097151517868042
synth_old,train,ft31_AdamW_finloop.pt,pv,150,374,0.355,0.313,0.333,0.268,0.114,0.264,0.286,0.275,6.629995346069336
synth_old,train,ft31_SGD,pv,150,374,0.324,0.345,0.334,0.267,0.126,0.25,0.267,0.258,7.862883806228638
synth_old,train,ft31_SGD_finloop.pt,pv,150,374,0.435,0.316,0.366,0.283,0.11,0.352,0.275,0.309,7.290337800979614
synth_old,train,ft32_AdamW,pv,150,374,0.295,0.171,0.217,0.132,0.058,0.23,0.112,0.151,7.01155161857605
synth_old,train,ft32_AdamW_finloop.pt,pv,150,374,0.38,0.385,0.382,0.315,0.128,0.292,0.302,0.297,6.755981922149658
synth_old,train,ft32_SGD,pv,150,374,0.366,0.353,0.36,0.3,0.141,0.297,0.286,0.291,7.973186492919922
synth_old,train,ft32_SGD_finloop.pt,pv,150,374,0.448,0.324,0.376,0.286,0.109,0.32,0.294,0.307,6.795285701751709
synth_old,train,ft33_AdamW,pv,150,374,0.462,0.257,0.33,0.263,0.121,0.347,0.193,0.248,6.996946096420288
synth_old,train,ft33_AdamW_finloop.pt,pv,150,374,0.363,0.291,0.323,0.264,0.109,0.313,0.249,0.277,6.448840856552124
synth_old,train,ft33_SGD,pv,150,374,0.386,0.294,0.334,0.266,0.129,0.304,0.238,0.267,8.191472291946411
synth_old,train,ft33_SGD_finloop.pt,pv,150,374,0.384,0.345,0.364,0.287,0.111,0.369,0.278,0.317,7.098402976989746
synth_old,val,finloop,solar-panel,12,35,0.501,0.571,0.534,0.538,0.259,0.361,0.429,0.392,4.6490254402160645
synth_old,val,ft21SGD,pv,12,35,0.688,0.686,0.687,0.674,0.355,0.646,0.6,0.622,4.514009714126587
synth_old,val,ft29_AdamW,pv,12,35,0.778,0.543,0.639,0.569,0.274,0.735,0.514,0.605,4.370581865310669
synth_old,val,ft29_AdamW_finloop.pt,pv,12,35,0.596,0.464,0.522,0.498,0.22,0.596,0.464,0.522,4.465519666671753
synth_old,val,ft29_SGD,pv,12,35,0.611,0.571,0.59,0.604,0.299,0.575,0.543,0.558,4.513322591781616
synth_old,val,ft29_SGD_finloop.pt,pv,12,35,0.788,0.531,0.634,0.523,0.21,0.788,0.531,0.634,4.211864233016968
synth_old,val,ft30_AdamW,pv,12,35,0.581,0.543,0.561,0.538,0.233,0.494,0.457,0.475,4.478295087814331
synth_old,val,ft30_AdamW_finloop.pt,pv,12,35,0.636,0.45,0.527,0.465,0.175,0.618,0.463,0.529,4.2218286991119385
synth_old,val,ft30_SGD,pv,12,35,0.469,0.629,0.537,0.587,0.309,0.447,0.6,0.512,4.774121999740601
synth_old,val,ft30_SGD_finloop.pt,pv,12,35,0.68,0.486,0.567,0.531,0.223,0.718,0.543,0.618,4.140736103057861
synth_old,val,ft31_AdamW,pv,12,35,0.585,0.514,0.547,0.498,0.213,0.52,0.457,0.486,4.521543979644775
synth_old,val,ft31_AdamW_finloop.pt,pv,12,35,0.658,0.429,0.519,0.436,0.179,0.658,0.429,0.519,4.184720754623413
synth_old,val,ft31_SGD,pv,12,35,0.489,0.629,0.55,0.592,0.304,0.44,0.571,0.497,4.477276802062988
synth_old,val,ft31_SGD_finloop.pt,pv,12,35,0.809,0.485,0.607,0.529,0.226,0.602,0.629,0.615,4.420650243759155
synth_old,val,ft32_AdamW,pv,12,35,0.608,0.486,0.54,0.536,0.273,0.586,0.486,0.531,4.4297521114349365
synth_old,val,ft32_AdamW_finloop.pt,pv,12,35,0.763,0.6,0.672,0.523,0.237,0.726,0.571,0.64,4.32171368598938
synth_old,val,ft32_SGD,pv,12,35,0.491,0.58,0.532,0.586,0.307,0.468,0.552,0.506,4.708956956863403
synth_old,val,ft32_SGD_finloop.pt,pv,12,35,0.646,0.629,0.637,0.557,0.228,0.661,0.629,0.644,4.305736541748047
synth_old,val,ft33_AdamW,pv,12,35,0.747,0.429,0.545,0.537,0.254,0.529,0.429,0.474,4.5526442527771
synth_old,val,ft33_AdamW_finloop.pt,pv,12,35,0.723,0.457,0.56,0.439,0.201,0.723,0.457,0.56,4.118358373641968
synth_old,val,ft33_SGD,pv,12,35,0.521,0.571,0.545,0.575,0.304,0.473,0.543,0.506,4.680748462677002
synth_old,val,ft33_SGD_finloop.pt,pv,12,35,0.79,0.571,0.663,0.566,0.211,0.784,0.571,0.661,4.1815431118011475
synth_old,test,finloop,solar-panel,18,32,0.342,0.375,0.358,0.298,0.095,0.222,0.219,0.22,4.485774278640747
synth_old,test,ft21SGD,pv,18,32,0.441,0.469,0.455,0.379,0.19,0.494,0.25,0.332,4.613565683364868
synth_old,test,ft29_AdamW,pv,18,32,0.427,0.219,0.289,0.236,0.141,0.303,0.156,0.206,4.4125730991363525
synth_old,test,ft29_AdamW_finloop.pt,pv,18,32,0.242,0.219,0.23,0.099,0.055,0.253,0.094,0.137,4.162099361419678
synth_old,test,ft29_SGD,pv,18,32,0.283,0.406,0.334,0.303,0.164,0.265,0.188,0.22,4.512431859970093
synth_old,test,ft29_SGD_finloop.pt,pv,18,32,0.282,0.281,0.281,0.19,0.106,0.361,0.125,0.186,4.235708236694336
synth_old,test,ft30_AdamW,pv,18,32,0.31,0.281,0.295,0.187,0.1,0.222,0.156,0.183,4.69656777381897
synth_old,test,ft30_AdamW_finloop.pt,pv,18,32,0.278,0.375,0.319,0.179,0.094,0.279,0.125,0.173,4.240234375
synth_old,test,ft30_SGD,pv,18,32,0.36,0.375,0.368,0.333,0.176,0.203,0.219,0.211,4.869028091430664
synth_old,test,ft30_SGD_finloop.pt,pv,18,32,0.277,0.312,0.294,0.207,0.113,0.281,0.125,0.173,4.3458473682403564
synth_old,test,ft31_AdamW,pv,18,32,0.232,0.344,0.277,0.175,0.097,0.19,0.281,0.227,4.54834246635437
synth_old,test,ft31_AdamW_finloop.pt,pv,18,32,0.238,0.375,0.291,0.189,0.102,0.23,0.125,0.162,4.504573345184326
synth_old,test,ft31_SGD,pv,18,32,0.354,0.359,0.357,0.33,0.177,0.199,0.219,0.208,4.464871168136597
synth_old,test,ft31_SGD_finloop.pt,pv,18,32,0.274,0.312,0.292,0.19,0.103,0.278,0.125,0.172,4.431617259979248
synth_old,test,ft32_AdamW,pv,18,32,0.631,0.281,0.389,0.285,0.174,0.558,0.25,0.345,4.4364378452301025
synth_old,test,ft32_AdamW_finloop.pt,pv,18,32,0.389,0.281,0.327,0.202,0.102,0.211,0.156,0.18,4.202621698379517
synth_old,test,ft32_SGD,pv,18,32,0.328,0.375,0.35,0.293,0.145,0.168,0.375,0.232,4.434508562088013
synth_old,test,ft32_SGD_finloop.pt,pv,18,32,0.378,0.281,0.322,0.212,0.112,0.192,0.156,0.172,4.182654619216919
synth_old,test,ft33_AdamW,pv,18,32,0.349,0.312,0.33,0.236,0.112,0.305,0.188,0.232,4.633216381072998
synth_old,test,ft33_AdamW_finloop.pt,pv,18,32,0.568,0.188,0.282,0.184,0.1,0.163,0.156,0.159,4.3206212520599365
synth_old,test,ft33_SGD,pv,18,32,0.398,0.344,0.369,0.321,0.169,0.19,0.281,0.227,4.781186580657959
synth_old,test,ft33_SGD_finloop.pt,pv,18,32,0.368,0.281,0.319,0.189,0.095,0.294,0.125,0.175,4.282958030700684
synth_new,train,finloop,solar-panel,789,789,0.062,0.027,0.037,0.008,0.001,0.0,0.0,0.0,23.18782114982605
synth_new,train,ft21SGD,pv,789,789,0.999,0.991,0.995,0.995,0.912,0.999,0.991,0.995,12.508610963821411
synth_new,train,ft29_AdamW,pv,789,789,0.999,0.994,0.996,0.995,0.937,0.999,0.994,0.996,12.426788330078125
synth_new,train,ft29_AdamW_finloop.pt,pv,789,789,0.996,0.971,0.983,0.989,0.809,0.994,0.968,0.981,11.001414775848389
synth_new,train,ft29_SGD,pv,789,789,0.992,0.98,0.986,0.993,0.811,0.992,0.98,0.986,12.810879230499268
synth_new,train,ft29_SGD_finloop.pt,pv,789,789,0.913,0.843,0.877,0.921,0.568,0.912,0.842,0.875,11.193594932556152
synth_new,train,ft30_AdamW,pv,789,789,1.0,0.99,0.995,0.995,0.908,1.0,0.99,0.995,12.59145998954773
synth_new,train,ft30_AdamW_finloop.pt,pv,789,789,0.985,0.93,0.957,0.976,0.684,0.985,0.93,0.957,10.971578359603882
synth_new,train,ft30_SGD,pv,789,789,0.982,0.967,0.975,0.986,0.716,0.98,0.965,0.972,12.909945249557495
synth_new,train,ft30_SGD_finloop.pt,pv,789,789,0.857,0.796,0.825,0.865,0.494,0.847,0.79,0.817,11.65998888015747
synth_new,train,ft31_AdamW,pv,789,789,0.998,0.992,0.995,0.995,0.909,0.998,0.991,0.995,12.546639919281006
synth_new,train,ft31_AdamW_finloop.pt,pv,789,789,0.981,0.944,0.962,0.977,0.68,0.982,0.944,0.962,11.16017484664917
synth_new,train,ft31_SGD,pv,789,789,0.988,0.967,0.978,0.989,0.755,0.986,0.964,0.975,12.902996301651001
synth_new,train,ft31_SGD_finloop.pt,pv,789,789,0.853,0.816,0.834,0.873,0.505,0.845,0.809,0.827,11.770044088363647
synth_new,train,ft32_AdamW,pv,789,789,0.999,0.993,0.996,0.995,0.909,0.999,0.992,0.996,12.708201885223389
synth_new,train,ft32_AdamW_finloop.pt,pv,789,789,0.975,0.949,0.962,0.975,0.684,0.974,0.948,0.961,11.356263160705566
synth_new,train,ft32_SGD,pv,789,789,0.992,0.966,0.979,0.988,0.749,0.99,0.964,0.976,12.79642391204834
synth_new,train,ft32_SGD_finloop.pt,pv,789,789,0.855,0.795,0.824,0.87,0.497,0.851,0.788,0.819,11.566750049591064
synth_new,train,ft33_AdamW,pv,789,789,0.999,0.991,0.995,0.995,0.929,0.999,0.992,0.995,12.527806758880615
synth_new,train,ft33_AdamW_finloop.pt,pv,789,789,0.981,0.946,0.963,0.975,0.701,0.982,0.943,0.962,11.112990617752075
synth_new,train,ft33_SGD,pv,789,789,0.987,0.975,0.981,0.989,0.777,0.984,0.972,0.978,13.053504467010498
synth_new,train,ft33_SGD_finloop.pt,pv,789,789,0.874,0.779,0.824,0.859,0.484,0.87,0.776,0.82,11.403919219970703
synth_new,val,finloop,solar-panel,225,225,0.046,0.053,0.05,0.011,0.002,0.0,0.0,0.0,14.008514165878296
synth_new,val,ft21SGD,pv,225,225,1.0,1.0,1.0,0.995,0.919,1.0,1.0,1.0,8.28943657875061
synth_new,val,ft29_AdamW,pv,225,225,1.0,1.0,1.0,0.995,0.927,1.0,1.0,1.0,8.23203992843628
synth_new,val,ft29_AdamW_finloop.pt,pv,225,225,0.983,0.969,0.976,0.988,0.811,0.987,0.973,0.98,7.538803339004517
synth_new,val,ft29_SGD,pv,225,225,0.999,0.987,0.993,0.995,0.816,0.994,0.982,0.988,8.260727405548096
synth_new,val,ft29_SGD_finloop.pt,pv,225,225,0.912,0.809,0.857,0.894,0.507,0.931,0.782,0.85,7.607316255569458
synth_new,val,ft30_AdamW,pv,225,225,1.0,1.0,1.0,0.995,0.9,1.0,1.0,1.0,8.198089361190796
synth_new,val,ft30_AdamW_finloop.pt,pv,225,225,0.957,0.907,0.931,0.974,0.681,0.957,0.907,0.931,7.526905536651611
synth_new,val,ft30_SGD,pv,225,225,0.982,0.977,0.979,0.994,0.736,0.982,0.977,0.979,8.437778234481812
synth_new,val,ft30_SGD_finloop.pt,pv,225,225,0.883,0.684,0.771,0.814,0.422,0.877,0.68,0.766,7.718839883804321
synth_new,val,ft31_AdamW,pv,225,225,1.0,1.0,1.0,0.995,0.904,1.0,1.0,1.0,8.494268894195557
synth_new,val,ft31_AdamW_finloop.pt,pv,225,225,0.967,0.918,0.942,0.974,0.679,0.967,0.918,0.942,7.650349378585815
synth_new,val,ft31_SGD,pv,225,225,0.995,0.978,0.986,0.994,0.763,0.995,0.978,0.986,8.458054780960083
synth_new,val,ft31_SGD_finloop.pt,pv,225,225,0.884,0.707,0.786,0.83,0.44,0.896,0.69,0.78,7.879594087600708
synth_new,val,ft32_AdamW,pv,225,225,1.0,0.995,0.998,0.995,0.901,1.0,0.995,0.998,8.114958047866821
synth_new,val,ft32_AdamW_finloop.pt,pv,225,225,0.981,0.913,0.946,0.983,0.693,0.977,0.907,0.94,7.684300661087036
synth_new,val,ft32_SGD,pv,225,225,0.995,0.981,0.988,0.992,0.753,0.995,0.981,0.988,8.40444540977478
synth_new,val,ft32_SGD_finloop.pt,pv,225,225,0.84,0.721,0.776,0.81,0.426,0.829,0.711,0.766,8.283254623413086
synth_new,val,ft33_AdamW,pv,225,225,0.995,1.0,0.998,0.995,0.932,0.995,1.0,0.998,8.054440975189209
synth_new,val,ft33_AdamW_finloop.pt,pv,225,225,0.964,0.947,0.955,0.982,0.715,0.959,0.942,0.951,7.854322195053101
synth_new,val,ft33_SGD,pv,225,225,0.999,0.982,0.991,0.995,0.779,0.999,0.982,0.991,8.374161005020142
synth_new,val,ft33_SGD_finloop.pt,pv,225,225,0.841,0.649,0.732,0.787,0.402,0.839,0.644,0.729,7.97260594367981
synth_new,test,finloop,solar-panel,114,114,0.2,0.035,0.06,0.037,0.004,0.0,0.0,0.0,9.71950888633728
synth_new,test,ft21SGD,pv,114,114,0.999,0.991,0.995,0.995,0.731,0.999,0.991,0.995,6.360057592391968
synth_new,test,ft29_AdamW,pv,114,114,1.0,0.982,0.991,0.995,0.794,1.0,0.982,0.991,6.41562294960022
synth_new,test,ft29_AdamW_finloop.pt,pv,114,114,0.987,0.982,0.985,0.986,0.636,0.987,0.982,0.985,5.940251588821411
synth_new,test,ft29_SGD,pv,114,114,0.997,0.991,0.994,0.995,0.63,0.997,0.991,0.994,6.864666223526001
synth_new,test,ft29_SGD_finloop.pt,pv,114,114,0.898,0.833,0.865,0.927,0.514,0.898,0.833,0.865,6.146445274353027
synth_new,test,ft30_AdamW,pv,114,114,0.999,0.991,0.995,0.995,0.746,0.999,0.991,0.995,6.58588981628418
synth_new,test,ft30_AdamW_finloop.pt,pv,114,114,0.959,0.956,0.958,0.987,0.543,0.959,0.956,0.958,5.995382785797119
synth_new,test,ft30_SGD,pv,114,114,0.977,0.991,0.984,0.995,0.603,0.977,0.991,0.984,6.536069869995117
