dataset,split,model,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
rzeszow,val,ft32_SGD_finloop.pt,pv,661,2767,0.876,0.731,0.797,0.786,0.542,0.86,0.704,0.774,4.449901819229126
rzeszow,val,ft27_AdamW,pv,661,2767,0.641,0.486,0.553,0.506,0.323,0.615,0.465,0.53,6.519620656967163
rzeszow,val,ft33_SGD_finloop.pt,pv,661,2767,0.877,0.755,0.811,0.796,0.562,0.894,0.707,0.789,4.595970392227173
rzeszow,test,finloop,solar-panel,435,1692,0.92,0.895,0.907,0.929,0.657,0.861,0.839,0.85,26.22328019142151
rzeszow,test,ft21SGD,pv,435,1692,0.906,0.837,0.87,0.917,0.688,0.884,0.797,0.838,4.995773077011108
rzeszow,test,ft29_AdamW,pv,435,1692,0.917,0.868,0.892,0.929,0.714,0.892,0.817,0.853,5.022189140319824
rzeszow,test,ft29_SGD_finloop.pt,pv,435,1692,0.901,0.892,0.897,0.925,0.67,0.876,0.835,0.855,3.5850820541381836
rzeszow,test,ft30_SGD_finloop.pt,pv,435,1692,0.9,0.876,0.888,0.918,0.657,0.868,0.83,0.849,3.6483235359191895
rzeszow,test,ft32_SGD_finloop.pt,pv,435,1692,0.896,0.87,0.883,0.915,0.643,0.862,0.824,0.843,3.6514511108398438
rzeszow,test,ft27_AdamW,pv,435,1692,0.895,0.868,0.881,0.932,0.72,0.879,0.823,0.85,5.1250574588775635
rzeszow,test,ft33_SGD_finloop.pt,pv,435,1692,0.911,0.887,0.899,0.927,0.673,0.872,0.842,0.857,3.6794326305389404
synth_old,train,finloop,solar-panel,150,374,0.396,0.275,0.325,0.273,0.115,0.254,0.184,0.214,14.583046913146973
synth_old,train,ft21SGD,pv,150,374,0.429,0.281,0.339,0.277,0.134,0.363,0.251,0.297,2.8370518684387207
synth_old,train,ft29_AdamW,pv,150,374,0.307,0.152,0.204,0.141,0.062,0.231,0.115,0.154,2.8623745441436768
synth_old,train,ft29_SGD_finloop.pt,pv,150,374,0.362,0.31,0.334,0.257,0.102,0.325,0.278,0.3,2.240013599395752
synth_old,train,ft30_SGD_finloop.pt,pv,150,374,0.478,0.305,0.372,0.29,0.112,0.367,0.278,0.316,2.2592504024505615
synth_old,train,ft32_SGD_finloop.pt,pv,150,374,0.448,0.324,0.376,0.286,0.109,0.32,0.294,0.307,2.2383334636688232
synth_old,train,ft27_AdamW,pv,150,374,0.361,0.176,0.237,0.164,0.074,0.251,0.16,0.196,2.71952223777771
synth_old,train,ft33_SGD_finloop.pt,pv,150,374,0.384,0.345,0.364,0.287,0.111,0.369,0.278,0.317,2.171086311340332
synth_old,val,finloop,solar-panel,12,35,0.501,0.571,0.534,0.538,0.259,0.361,0.429,0.392,1.9186837673187256
synth_old,val,ft21SGD,pv,12,35,0.688,0.686,0.687,0.674,0.355,0.646,0.6,0.622,0.9687166213989258
synth_old,val,ft29_AdamW,pv,12,35,0.778,0.543,0.639,0.569,0.274,0.735,0.514,0.605,0.955665111541748
synth_old,val,ft29_SGD_finloop.pt,pv,12,35,0.788,0.531,0.634,0.523,0.21,0.788,0.531,0.634,0.6713781356811523
synth_old,val,ft30_SGD_finloop.pt,pv,12,35,0.68,0.486,0.567,0.531,0.223,0.718,0.543,0.618,0.6691868305206299
synth_old,val,ft32_SGD_finloop.pt,pv,12,35,0.646,0.629,0.637,0.557,0.228,0.661,0.629,0.644,0.6891741752624512
synth_old,val,ft27_AdamW,pv,12,35,0.695,0.486,0.572,0.524,0.261,0.635,0.429,0.512,0.929473876953125
synth_old,val,ft33_SGD_finloop.pt,pv,12,35,0.79,0.571,0.663,0.566,0.211,0.784,0.571,0.661,0.6042954921722412
synth_old,test,finloop,solar-panel,18,32,0.342,0.375,0.358,0.298,0.095,0.222,0.219,0.22,2.0553090572357178
synth_old,test,ft21SGD,pv,18,32,0.441,0.469,0.455,0.379,0.19,0.494,0.25,0.332,1.1174530982971191
synth_old,test,ft29_AdamW,pv,18,32,0.427,0.219,0.289,0.236,0.141,0.303,0.156,0.206,0.9697680473327637
synth_old,test,ft29_SGD_finloop.pt,pv,18,32,0.282,0.281,0.281,0.19,0.106,0.361,0.125,0.186,0.7031185626983643
synth_old,test,ft30_SGD_finloop.pt,pv,18,32,0.277,0.312,0.294,0.207,0.113,0.281,0.125,0.173,0.6885838508605957
synth_old,test,ft32_SGD_finloop.pt,pv,18,32,0.378,0.281,0.322,0.212,0.112,0.192,0.156,0.172,0.7145228385925293
synth_old,test,ft27_AdamW,pv,18,32,0.45,0.25,0.321,0.236,0.129,0.288,0.219,0.249,1.1382834911346436
synth_old,test,ft33_SGD_finloop.pt,pv,18,32,0.368,0.281,0.319,0.189,0.095,0.294,0.125,0.175,0.7400703430175781
synth_new,train,finloop,solar-panel,789,789,0.062,0.027,0.037,0.008,0.001,0.0,0.0,0.0,45.92682409286499
synth_new,train,ft21SGD,pv,789,789,0.999,0.991,0.995,0.995,0.912,0.999,0.991,0.995,7.209620714187622
synth_new,train,ft29_AdamW,pv,789,789,0.999,0.994,0.996,0.995,0.937,0.999,0.994,0.996,7.408691883087158
synth_new,train,ft29_SGD_finloop.pt,pv,789,789,0.913,0.843,0.877,0.921,0.568,0.912,0.842,0.875,5.363764762878418
synth_new,train,ft30_SGD_finloop.pt,pv,789,789,0.857,0.796,0.825,0.865,0.494,0.847,0.79,0.817,5.5046539306640625
synth_new,train,ft32_SGD_finloop.pt,pv,789,789,0.855,0.795,0.824,0.87,0.497,0.851,0.788,0.819,5.399201393127441
synth_new,train,ft27_AdamW,pv,789,789,0.998,0.995,0.996,0.995,0.93,1.0,0.991,0.995,7.499461889266968
